i,t,y1,y2,y3,dy1,dy2,dy3
5002,50.009999999998620,4.660679123285090,1.430821665152378,4.191986566114221,17.305410417601500,5.229287622256326,.629911992849828
5003,50.019999999998618,4.836950364344964,1.484296348841081,4.199113119109823,17.952023550659426,5.467938242993165,.797492936512523
5004,50.029999999998616,5.019783041255704,1.540228011984293,4.207980071765111,18.617666425874219,5.720866882345542,.978171057471171
5005,50.039999999998614,5.209366288232586,1.598765112442545,4.218723929232287,19.302082804079816,5.989227091877343,1.173069266745255
5006,50.049999999998612,5.405885929315605,1.660068202422786,4.231492928003314,20.004862788022834,6.274286055263751,1.383412466419270
5007,50.059999999998610,5.609522812651286,1.724311122445262,4.246448103588658,20.725416367351919,6.577436285367749,1.610537246457990
5008,50.069999999998608,5.820450860461925,1.791682317370491,4.263764459549487,21.462942914702062,6.900208343686874,1.855902467309025
5009,50.079999999998606,6.038834791173995,1.862386284807709,4.283632246989967,22.216396009915833,7.244284597640757,2.121100776577838
5010,50.089999999998604,6.264827463472249,1.936645166241568,4.306258364046086,22.984442872044070,7.611514001467317,2.407871096486140
5011,50.099999999998602,6.498566784295504,2.014700490871081,4.331867885189057,23.765417566798455,8.003927843935202,2.718112100387711
5012,50.109999999998600,6.740172113840107,2.096815081304837,4.360705730214098,24.557267028955184,8.423756346403451,3.053896668815390
5013,50.119999999998598,6.989740090317925,2.183275128701743,4.393038482500036,25.357488793317650,8.873445912422497,3.417487275076852
5014,50.129999999998596,7.247339785343904,2.274392442425926,4.429156365354467,26.163059163034635,9.355676717883373,3.811352192991605
5015,50.139999999998594,7.513007087210815,2.370506875455026,4.469375383806644,26.970350359750977,9.873380179394605,4.238182339345334
5016,50.149999999998592,7.786738193752162,2.471988921194189,4.514039636814987,27.775034996722717,10.429755636156507,4.700908453741970
5017,50.159999999998590,8.068482078817251,2.579242469419640,4.563523801174380,28.571975995889947,11.028285311835067,5.202718169365975
5018,50.169999999998588,8.358131776439359,2.692707698048902,4.618235782989772,29.355099837935335,11.672746268407092,5.747072327705689
5019,50.179999999998586,8.655514304491923,2.812864062334203,4.678619524840840,30.117250799699690,12.367217599193069,6.337719623268800
5020,50.189999999998584,8.960379025042263,2.940233322652094,4.745157945939548,30.850023611312494,13.116080502788407,6.978708311550355
5021,50.199999999998582,9.272384211967012,3.075382524726405,4.818375977705823,31.543571780437063,13.924008095736539,7.674393251149243
5022,50.209999999998580,9.591081568233164,3.218926809868883,4.898843637019249,32.186388720608974,14.795940813982803,8.429435949807694
5023,50.219999999998578,9.915898406580961,3.371531885149949,4.987179052389132,32.765058840822945,15.737041967419856,9.248794509323890
5024,50.229999999998576,10.246117179860617,3.533915921237881,5.084051322485649,33.263975986380544,16.752626386234489,10.137699375048257
5025,50.239999999998574,10.580852023656261,3.706850565234442,5.190183039522515,33.665027184557061,17.848053064533786,11.101609546498844
5026,50.249999999998572,10.919021958171379,3.891160652766835,5.306352249038772,33.947240709676421,19.028570197378080,12.146142348809786
5027,50.259999999998570,11.259320394722351,4.087722072799075,5.433393539389275,34.086399272446329,20.299097962607583,13.276967955773191
5028,50.269999999998568,11.600180613384177,4.297457074551651,5.572197855025169,34.054621974041439,21.663930786287345,14.499657562778683
5029,50.279999999998566,11.939736934822692,4.521326102944592,5.723710503550697,33.819922968711559,23.126336674030924,15.819471430552563
5030,50.289999999998564,12.275781418441667,4.760315002188488,5.888926673947090,33.345761099430050,24.688026616720300,17.241070013831621
5031,50.299999999998562,12.605716104186621,5.015416133691833,6.068883599631833,32.590603801841844,26.348462389394733,18.768128207365415
5032,50.309999999998560,12.926501107838266,5.287601615784522,6.264648284831299,31.507541145995610,28.103966836243657,20.402829699846116
5033,50.319999999998558,13.234599319458907,5.577786518111072,6.477299470048296,30.044002939491151,29.946597977121989,22.145216086941598
5034,50.329999999998556,13.525919091367200,5.886779455104597,6.707902253496686,28.141654284101882,31.862748602549914,23.992364683160417
5035,50.339999999998554,13.795757193636041,6.215217663139432,6.957473533201305,25.736573573802346,33.831438913799929,25.937371319473371
5036,50.349999999998552,14.038745524120579,6.563483387155980,7.226936229441542,22.759851738627646,35.822284772617493,27.968121907504141
5037,50.359999999998550,14.248806644128141,6.931598359003540,7.517060154474803,19.138791389352264,37.793153083356074,30.065852058698695
5038,50.369999999998548,14.419125205459620,7.319093490408653,7.828387513809531,14.798925934578378,39.687564814389845,32.203521220974658
5039,50.379999999998546,14.542144723406830,7.724851862509116,8.161141488057602,9.667114592811963,41.431982002442268,34.344070818366895
5040,50.389999999998544,14.609601820555058,8.146924972356558,8.515117335570089,3.675987039073092,42.933224004419131,36.438698715171981
5041,50.399999999998542,14.612612746843897,8.582325344501632,8.889557185176324,-3.230008197515872,44.076403192888989,38.425367178508324
5042,50.409999999998540,14.541829168871834,9.026803377104047,9.283012369672466,-11.086781563898882,44.723946281260638,40.227866183138595
5043,50.419999999998538,14.387681109746135,9.474622895659277,9.693200938885866,-19.901017999063356,44.716455084788890,41.755867929171771
5044,50.429999999998536,14.140723369319376,9.918358262912760,10.116872875603843,-29.639152833986458,43.876318067356991,42.906508465154673
5045,50.439999999998534,13.792096354750820,10.348745413858975,10.549701192514515,-40.215690059863050,42.015041222400072,43.568078179754025
5046,50.449999999998532,13.334101570108183,10.754628375535239,10.986222699618924,-51.482234534730125,38.945125593194462,43.626337743529625
5047,50.459999999998530,12.760875090458001,11.123049155792067,11.419856363808686,-63.219248234438865,34.496869051613871,42.973734882448326
5048,50.469999999998528,12.069119453300909,11.439528799483707,11.843027795929681,-75.133060278119103,28.539629163001223,41.521329294361649
5049,50.479999999998526,11.258827932690401,11.688576939142326,12.247423166315679,-86.860808322262926,21.005860656971237,39.212538042072204
5050,50.489999999998524,10.333910280897053,11.854443186073985,12.624382871860885,-97.985478109235132,11.914808088764005,36.036985280319513
5051,50.499999999998522,9.302613475470766,11.922085847272969,12.965424185281286,-108.061832805878879,1.391471268462581,32.041990962446718
5052,50.509999999998520,8.177633529318337,11.878286035277402,13.262855194421014,-116.651819997205791,-10.324091020382852,27.338871743759434
5053,50.519999999998518,6.975841585708205,11.712788130605833,13.510415059630114,-123.365421221452877,-22.881366092912188,22.101560452697104
5054,50.529999999998516,5.717599884612278,11.419314713925690,13.703855866668995,-127.900643512708754,-35.839982417246958,16.556225600896720
5055,50.539999999998514,4.425712553928488,10.996299285245668,13.841377047846816,-130.075361768411312,-48.705036688143394,10.962429986307081
5056,50.549999999998512,3.124126145232974,10.447211003509944,13.923839067613383,-129.844653992107283,-60.972280361952144,5.588409501250594
5057,50.559999999998510,1.836545563885536,9.780409064772289,13.954717292039128,-127.300115679966424,-72.175616509751649,.684596389322943
5058,50.569999999998508,.585146804242571,9.008545378198040,13.939801604422335,-122.651601295303593,-81.928623421377196,-3.540017430038231
5059,50.579999999998506,-.610456254562097,8.147611252050039,13.886690366451894,-116.195635956248822,-89.953329509868169,-6.934862422103208
5060,50.589999999998504,-1.733889801984048,7.215776585275757,13.804157378772938,-108.277164603131581,-96.092653556794815,-9.416033615468688
5061,50.599999999998502,-2.772312215411755,6.232187188196604,13.701481092074902,-99.251755998405997,-100.306655282758470,-10.965752371845156
5062,50.609999999998500,-3.716355457939541,5.215867999560337,13.587816701950137,-89.454035609290912,-102.655836757377827,-11.624710182760470
5063,50.619999999998498,-4.559797164595196,4.184837662443213,13.471669687839324,-79.175736508640583,-103.276457869404936,-11.479904783878860
5064,50.629999999998496,-5.299065874582571,3.155487990421289,13.360501998528575,-68.654232975269395,-102.353060111907894,-10.650703668673053
5065,50.639999999998494,-5.932679967556757,2.142233664073630,13.260476815577675,-58.070439673782168,-100.092501804764794,-9.275376771477962
5066,50.649999999998492,-6.460703263109762,1.157401448217826,13.176329254686571,-47.553818877117955,-96.702367893740401,-7.499547554523854
5067,50.659999999998490,-6.884275372751974,.211307089498927,13.111339976416209,-37.191895953607307,-92.375145798409818,-5.467207921813279
5068,50.669999999998488,-7.205249643587956,-.687539641248893,13.067385578969967,-27.041902624913810,-87.278378873010837,-3.314308268321528
5069,50.679999999998486,-7.425950109250902,-1.532159209407468,13.045041720137419,-17.142669737641331,-81.550236892762371,-1.164536570822499
5070,50.689999999998484,-7.549042910544421,-2.316805461882031,13.043719816878557,-7.525453237718974,-75.299545991914528,.873274418629862
5071,50.699999999998482,-7.577507022659946,-3.036686855832073,13.061823925228984,1.777133913636021,-68.609193963849592,2.706678900308547
5072,50.709999999998480,-7.514682792591575,-3.687734183102387,13.096919633814629,10.724544264005132,-61.541854777157681,4.260554742287526
5073,50.719999999998478,-7.364373532173864,-4.266433068832187,13.145910716196690,19.264280538627666,-54.147066246357795,5.477756184144949
5074,50.729999999998476,-7.130974258138155,-4.769730352977692,13.205221548183328,27.330474745474312,-46.468791403329661,6.319623933471712
5075,50.739999999998474,-6.819602066059634,-5.195015196412653,13.270983910136858,34.844952754210624,-38.552677328086943,6.766338236370301
5076,50.749999999998472,-6.436204409148799,-5.540168274063608,13.339226007879734,41.720534683675460,-30.452302505911803,6.816979274657196
5077,50.759999999998470,-5.987624812633348,-5.803665775697698,13.406059787621945,47.866166313211892,-22.233798467034333,6.489088348303160
5078,50.769999999998468,-5.481610417494866,-5.984719438400496,13.467860451071921,53.193314147721068,-13.978369765957986,5.817513168366064
5079,50.779999999998466,-4.926752170164581,-6.083430016017964,13.521430125354437,57.622913033247819,-5.782435053639077,4.852373896852265
5080,50.789999999998464,-4.332356086245391,-6.100930060932663,13.564136512695043,61.092067769668574,2.244631233888924,3.656095285588913
5081,50.799999999998462,-3.708252066918766,-6.039493124625241,13.594017500429773,63.559714895286987,9.984887752553838,2.299594304014428
5082,50.809999999998460,-3.064554193923810,-5.902590587495672,13.609844362456052,65.010568261495081,17.317800255341709,.857862055575056
5083,50.819999999998458,-2.411392147696416,-5.694883911540097,13.611139213753070,65.456896987652797,24.127044894154039,-.594700119116020
5084,50.829999999998456,-1.758636453419718,-5.422148266403994,13.598146355334743,64.937983419787471,30.307286784611787,-1.988766415979005
5085,50.839999999998454,-1.115640181617870,-5.091131947763889,13.571761405825615,63.517427172538397,35.770117117969207,-3.263978877265784
5086,50.849999999998452,-.491016626370265,-4.709363443265708,13.533425927089469,61.278738191328152,40.448497290705731,-4.371909935539404
5087,50.859999999998450,.107532962018301,-4.284923290238047,13.484997993347065,58.319846780597672,44.299314679415929,-5.277889401945385
5088,50.869999999998448,.673334228579087,-3.826200367972717,13.428610453802142,54.747225402595461,47.303946740527088,-5.961642530164123
5089,50.879999999998446,1.200796580104753,-3.341651908169348,13.366528437502785,50.670268159304797,49.467000717319749,-6.416828867327816
5090,50.889999999998444,1.685417325002199,-2.839583744177666,13.301016170888243,46.196435924909508,50.813600536326121,-6.649680691014749
