i,t,y1,y2,y3,dy1,dy2,dy3
10002,10.000999999999896,-112.291054723058636,37.618700490454884,76.452850347820373,4622.794816197994805,3161.337202181783141,-12280.138111727483192
10003,10.001999999999896,-107.573590807791717,40.095914202705337,64.439695196935943,4797.658695956840347,1817.380192519571210,-11716.993841743602388
10004,10.002999999999895,-102.723631259751187,41.305025220213921,53.068573941960402,4888.922799823438254,627.697406212744681,-11004.621356333429503
10005,10.003999999999895,-97.821002412759370,41.406020018074990,42.463686674372461,4904.466433772822711,-398.194335711818894,-10192.358979890850605
10006,10.004999999999894,-92.936804900531257,40.563083124611417,32.702451034281765,4853.713711158951810,-1261.001295494769693,-9324.072058097821355
10007,10.005999999999894,-88.132294822868033,38.935647728054491,23.821862537742767,4746.801636051912283,-1969.087848290470902,-8436.568414640754781
10008,10.006999999999893,-83.458528337649568,36.672007098669432,15.825904776750255,4593.892341888063129,-2535.972194317983394,-7559.044729173072483
10009,10.007999999999893,-78.956609746203640,33.905291557355085,8.693103225951713,4404.655578719159166,-2978.129745999165152,-6713.307460311463728
10010,10.008999999999892,-74.658371889071447,30.751432400558649,2.383583564863042,4187.919456670928412,-3313.227337673532929,-5914.499888140635449
10011,10.009999999999891,-70.587329558829595,27.308661832481224,-3.154749741700214,3951.469313203316688,-3558.815248779028934,-5172.099380116951579
10012,10.010999999999891,-66.759771943015252,23.658105183813632,-7.981088892025470,3701.965592959324113,-3731.441027478118940,-4491.002690038561923
10013,10.011999999999890,-63.185890695008375,19.865076526891315,-12.157673244642226,3444.949634914642047,-3846.115870429226106,-3872.574478032565821
10014,10.012999999999890,-59.870870365589390,15.980765001303238,-15.746737189917003,3184.908752432269466,-3916.053431059878221,-3315.584805921678253
10015,10.013999999999889,-56.815894259883009,12.044078456830075,-18.808324085124184,2925.376789056687358,-3952.604367582990562,-2817.000542466659681
10016,10.014999999999889,-54.019039855590698,8.083482604596041,-21.398814436312307,2669.051843991076566,-3965.320949863111309,-2372.622829349340464
10017,10.015999999999888,-51.476053557991705,4.118732752669814,-23.570017853829196,2417.918092651505958,-3962.099792042680292,-1977.579608931954681
10018,10.016999999999888,-49.181005343004969,.162440280855221,-25.368692320877656,2173.363071766908888,-3949.364280826302092,-1626.691125601472777
10019,10.017999999999887,-47.126830646430776,-3.778551602114965,-26.836374296174636,1936.285284431840410,-3932.259984216042085,-1314.729721048504871
10020,10.018999999999886,-45.305770649863376,-7.701986442570599,-28.009424685643690,1707.189539626494252,-3914.845685436292115,-1036.595199349038467
10021,10.019999999999886,-43.709723757702108,-11.609197429127642,-28.919216123187276,1486.269204828386819,-3900.269703289969584,-787.425078611515687
10022,10.020999999999885,-42.330521268192761,-15.504276847170779,-29.592404946902246,1273.475685157970247,-3890.926133675835445,-562.656227484558258
10023,10.021999999999885,-41.160139561761689,-19.393390785725177,-30.051246245337435,1068.576109355533390,-3888.588981074351977,-358.051370734876855
10024,10.022999999999884,-40.190859958427289,-23.284216886373500,-30.313922391143606,871.200540420245261,-3894.524245054056792,-169.701115349725114
