i,t,y1,y2,y3,dy1,dy2,dy3
40002,40.000999999997475,18.131583573217259,87.529863409072476,-19.661494412878518,2718.892148774776615,3104.328393829850029,1337.325204427917242
40003,40.001999999997473,20.857667271893177,90.753567048146394,-18.205620455787813,2735.079707218897511,3341.969814862247404,1576.759318315974724
40004,40.002999999997471,23.605291051804045,94.211294321024383,-16.502889294054810,2761.911249971714824,3572.072399251575007,1831.448879072704585
40005,40.003999999997468,26.384914354070489,97.894529865337603,-14.536838510017528,2799.016102200162095,3792.614125846395382,2103.786352683503083
40006,40.004999999997466,29.206619917016390,101.792518129942309,-12.288681625560578,2846.010191954001129,4001.125311553718348,2396.022913462484212
40007,40.005999999997464,32.080095957786206,105.891781418975370,-9.737465469580599,2902.486806183603221,4194.619732707524236,2710.233573026409886
40008,40.006999999997461,35.014607882661167,110.175568341850720,-6.860271018820254,2968.004866416737968,4369.524500076154254,3048.264649597006155
40009,40.007999999997459,38.018956955332079,114.623232126981762,-3.632476789469103,3042.074530273975597,4521.610253782969266,3411.660691180254162
40010,40.008999999997457,41.101423120970843,119.209540336347189,-.028106884271453,3124.139851344165436,4645.924311323393340,3801.567698831877806
40011,40.009999999997454,44.269688883952256,123.903920794959532,3.979710961709487,3213.558167019960820,4736.730738393631327,4218.609355264281476
40012,40.010999999997452,47.530740781424406,128.669653317254188,8.418148716810403,3309.575836556102331,4787.462964805230513,4662.733047355942290
40013,40.011999999997450,50.890744603032417,133.463023406074001,13.313911122374749,3411.299928217062643,4790.696570692017303,5133.022911131165529
40014,40.012999999997447,54.354890109011272,138.232462876864986,18.692264510004513,3517.665468046927344,4738.152230203052568,5627.478098821065032
40015,40.013999999997445,57.927200640764504,142.917713665207174,24.575826368387428,3627.397932970373404,4620.741483592020813,6142.756191188037519
40016,40.014999999997443,61.610302769483198,147.449065183211928,30.983081859852035,3738.970825207895814,4428.670901868647888,6673.884423288255675
40017,40.015999999997440,65.405151091327667,151.746732607618213,37.926598067501118,3850.558440969216463,4151.623085190419260,7213.945465042686919
40018,40.016999999997438,69.310703597468091,155.720463215160862,45.410916205095816,3959.984393216647732,3779.035408983105754,7753.750217805938519
40019,40.017999999997436,73.323543924260036,159.269479642429758,53.430118135684239,4064.667126966828164,3300.498894682652008,8281.517732050069753
40020,40.018999999997433,77.437448489569206,162.282891313821438,61.965088334326786,4161.564646736655050,2706.299157161698531,8782.592065195682153
40021,40.019999999997431,81.642899385075609,164.640725797631660,70.980527931866789,4247.122032540793953,1988.117881890842000,9239.237555679950674
40022,40.020999999997429,85.926548329321236,166.215746722763072,80.421825383110345,4317.227114219924260,1139.905227053865019,9630.566989730694331
40023,40.021999999997426,90.270643444607245,166.876228726312775,90.211949365311327,4367.181925764058178,158.919248380673707,9932.670151783102483
40024,40.022999999997424,94.652439540408267,166.489845633568535,100.248602669898958,4391.700212242094494,-953.093715829194480,10119.020934499258146
40025,40.023999999997422,99.043624279952425,164.928787216771269,110.401957083854924,4384.944110622314838,-2188.634877451950160,10161.245939550373805
40026,40.024999999997419,103.409807084792192,162.076143429357472,120.513370280174115,4340.615753272360962,-3533.202113560213547,10030.331401946463302
40027,40.025999999997417,107.710134343828258,157.833475194456952,130.395552786652416,4252.121235383240673,-4964.195615688387988,9698.322389168581140
40028,40.026999999997415,111.897112003658634,152.129323955003287,139.834686352134014,4112.824087772380153,-6450.169921439923201,9140.522593123772822
40029,40.027999999997412,115.916732271756061,144.928202588558975,148.594969399420904,3916.401738240509985,-7950.658958084693950,8338.130503628670340
40030,40.028999999997410,119.709010858357004,136.239374743107021,156.425953574033201,3657.309943377646960,-9416.813082851014769,7281.148830913516576
40031,40.029999999997408,123.209039433678299,126.124501168744303,163.072814746306591,3331.345647424816889,-10793.057670411413710,5971.287298672499674
40032,40.030999999997405,126.348638545521197,114.703060346979228,168.289363161448335,2936.277978801007521,-12019.895590198535501,4424.463914021120218
40033,40.031999999997403,129.058653537409953,102.154399349231696,171.853157159756421,2472.491763543440356,-13037.823137648885677,2672.427635630550867
40034,40.032999999997401,131.271867309504984,88.715402321188606,173.581594816438013,1943.562213605858460,-13792.119333669163098,763.014539614168825
40035,40.033999999997398,132.926411918881513,74.673121299199792,173.347407987218816,1356.660208681445056,-14238.033877656978802,-1241.354260731701288
40036,40.034999999997396,133.969456699698213,60.352296187649145,171.091691341042690,722.683329084749403,-14345.694892555564365,-3267.104562401249495
40037,40.035999999997394,134.360852794495059,46.098433182682143,166.832583495810894,56.026126312435736,-14103.952625055082535,-5234.716275918537576
40038,40.036999999997391,134.076347428743844,32.257882651753512,160.668057528775989,-626.052782770882459,-13522.429540313591133,-7065.179879709197849
40039,40.037999999997389,133.109970186493513,19.156983131091732,152.771973247731296,-1304.443833522103887,-12631.284781458318321,-8686.855225576104203
40040,40.038999999997387,131.475253326551694,7.082645685795010,143.383490930498340,-1959.483378761051881,-11478.588946256351846,-10041.717879594902115
40041,40.039999999997384,129.205077664005444,-3.733367125298189,132.790953524596006,-2572.375317456503126,-10125.653534208428027,-11090.033032766903489
40042,40.040999999997382,126.350114007136199,-13.124761664454809,121.312180603942977,-3126.545770901641390,-8641.046812659096759,-11812.778256823932679
40043,40.041999999997380,122.976021307892438,-20.994785007496027,109.273586189949782,-3608.747314425925197,-7094.245391900922186,-12211.572825817762350
40044,40.042999999997377,119.159725158572968,-27.314165094107537,96.990537226001464,-4009.777088693993392,-5549.864176993312867,-12306.340815727800873
40045,40.043999999997375,114.985200418714442,-32.113887545567735,84.750942135071199,-4324.746867839121478,-4063.195794958092847,-12131.310923683331566
40046,40.044999999997373,110.539203676184513,-35.474346387916519,72.803340839084271,-4552.922271153126530,-2677.454046886400647,-11730.152583982635406
40047,40.045999999997370,105.907349837945830,-37.512619524140455,61.349953402683624,-4697.213018073900457,-1422.759126955478678,-11151.046041996860367
40048,40.046999999997368,101.170823839342205,-38.369505319251303,50.544416219097947,-4763.433929645380886,-316.615024585954416,-10442.324686142357677
40049,40.047999999997366,96.403892336492959,-38.197612054075186,40.493413878637206,-4759.464541719815315,634.539125532417984,-9649.085849789629719
40050,40.048999999997363,91.672258726288092,-37.151341514906136,31.261145129682845,-4694.419244142437492,1433.167615239395218,-8810.917675347131080
40051,40.049999999997361,87.032207274198697,-35.379162535955487,22.875519511869200,-4577.909679500250604,2088.281193699841424,-7960.689096713992512
40052,40.050999999997359,82.530417558367901,-33.018204464205802,15.335104372773081,-4419.446870153169584,2613.196309240002392,-7124.222339676243791
40053,40.051999999997356,78.204298844345686,-30.190947604451207,8.616055874673915,-4227.999840594662601,3023.604875867409191,-6320.611690962430657
40054,40.052999999997354,74.082689456931547,-27.003647670335273,2.678507591685690,-4011.704517711010794,3336.043920601644913,-5562.952310312182817
40055,40.053999999997352,70.186780257876862,-23.546083766705273,-2.527888624160382,-3777.702459124138386,3566.775602229452943,-4859.277107044261356
40056,40.054999999997349,66.531145615349857,-19.892236269468260,-7.059396839685567,-3532.082436848350426,3731.038042552538172,-4213.548811245156685
40057,40.055999999997347,63.124793019947170,-16.101554918176578,-10.974606136463361,-3279.897076059300616,3842.602258573254403,-3626.604445534607294
40058,40.056999999997345,59.972169155668659,-12.220546841506991,-14.331733959085385,-3025.229467613155521,3913.563540019946231,-3096.992468304121303
40059,40.057999999997342,57.074083169861453,-8.284484358125875,-17.186700651989462,-2771.289130307839059,3954.300069607020760,-2621.675701862359801
40060,40.058999999997340,54.428526054753725,-4.319094754471324,-19.591837310410547,-2520.521604770629892,3973.541865432204759,-2196.595690687128354
40061,40.059999999997338,52.031378438091345,-.342145099680202,-21.595092246542375,-2274.720528244516117,3978.505329186758900,-1817.107907659230932
40062,40.060999999997335,49.877008242538381,3.635126104217244,-23.239614822880942,-2035.134879144725346,3975.060435498205607,-1478.304367604687968
40063,40.061999999997333,47.958765417286010,7.606750887517448,-24.563613556889369,-1802.567074050858082,3967.907696076803404,-1175.242789475271138
40064,40.062999999997331,46.269384104899778,11.570949168253183,-25.600404589331173,-1577.459789975400327,3960.750062319154495,-903.101188628456043
40065,40.063999999997328,44.801303929240483,15.529211599039808,-26.378584667298497,-1359.970891432481721,3956.450936991866001,-657.274959009205418
40066,40.064999999997326,43.546922187975831,19.485531436950335,-26.922278628480083,-1150.036809650208170,3957.173721635103902,-433.430996279425017
40067,40.065999999997324,42.498788073964100,23.445765924019035,-27.251424596380520,-947.425288979432707,3964.501181183594781,-227.530766089725034
